heure;debut;fin;activite
2025-03-03;13:00;13:16;A
2025-03-03;16:05;16:06;P
2025-03-03;16:06;16:16;A
2025-03-03;17:40;17:45;H
2025-03-03;18:05;20:00;foot
2025-03-03;21:05;21:05;H
2025-03-03;21:07;21:07;T
2025-03-03;21:12;21:12;H
2025-03-03;21:17;21:18;A
2025-03-03;21:23;21:38;A
2025-03-03;21:40;21:41;P
2025-03-04;07:13;07:13;P
2025-03-04;07:15;07:28;A
2025-03-04;07:29;07:29;S
2025-03-04;07:36;07:36;H
2025-03-04;07:37;07:37;S
2025-03-04;07:46;07:46;H
2025-03-04;11:58;12:12;A
2025-03-04;15:44;15:48;H
2025-03-04;16:08;16:08;A
2025-03-04;16:30;16:30;badminton
2025-03-04;21:02;21:02;H
2025-03-04;21:03;21:08;T
2025-03-04;21:09;21:09;H
2025-03-04;21:39;22:04;A
2025-03-04;22:25;22:34;P
2025-03-04;23:27;23:37;S
2025-03-05;07:26;07:36;A
2025-03-05;07:40;07:41;P
2025-03-05;07:42;07:42;S
2025-03-05;07:51;07:53;H
2025-03-05;11:50;12:10;A
2025-03-05;11:50;11:50;A
2025-03-05;14:20;14:21;M
2025-03-05;14:20;14:20;L
2025-03-05;17:45;17:45;H
2025-03-05;18:00;20:00;padel
2025-03-05;21:54;21:56;H
2025-03-05;21:56;21:56;T
2025-03-05;22:05;22:18;T
2025-03-05;22:19;22:20;H
2025-03-05;22:24;22:45;A
2025-03-05;22:50;22:53;P
2025-03-05;23:09;23:16;S
2025-03-06;07:26;07:34;A
2025-03-06;07:45;07:49;H
2025-03-06;07:51;07:58;S
2025-03-06;11:54;12:07;A