jour;activite;debut ;fin
0;Réveil;08:50:00;08:50:10
0;P ;08:55;08:57
0;A;08:57;09:04
0;P ;09:05;09:10
0;H;09:10;09:15
0;S;09:15;09:25
0;M (lacets);09:28;09:30
0;Repos (voiture);09:30;09:40
0;M (courses);09:40;10:40:00
0;S (lavage mains);10:45;10:50
0;M ? (ordi mais e-learning donc j'écris pas au clavier + tel);10:50;12:20
0;A;12:25;12:45
0;M ? (ordi mais e-learning donc j'écris pas trop au clavier + tel);12:50;16:05
0;P;16:05;16:10
0;A;16:10;16:15
0;M (ordi);16:15;17:25
0;S (lavage mains);17:25;17:26
0;M (ordi);17:26;19:00
0;H;19:00;19:05
0;M;19:05;19:15
0;M (conduite);19:15;19:25
0;MI (foot);19:40;21:00
0;H;21:00;21:10
0;M (conduite);21:10;21:15
0;A;21:25;21:40
0;H;22:04;22:05
0;T;22:05;22:10
0;H;22:10;22:12
0;Repos (TV);22:13;23:10
0;S;23:10;23:15
1;Toilettes;08:00;08:02
1;Réveil;09:15;09:16
1;P;09:15;09:20
1;A;09:20;09:28
1;P;09:28;09:35
1;H;09:35;09:38
1;S;09:38;09:50
1;S (lavage mains);11:53;11:55
1;P;11:55;12:10
1;A;12:35;12:55
1;M (ordi);12:55;16:00
1;A;16:00;16:05
1;P (vaisselle);16:05;16:06
1;M (ordi);16:10;19:15
1;H;19:15;19:16
1;T;19:18;19:23
1;H;19:23;19:25
1;M;19:25;20:20
1;A;20:20;20:30
1;P;20:30;20:40
1;A;20:40;20:55
1;S;22:20;22:25
2;P;08:35;08:38
2;A;08:38;08:45
2;P;08:45;08:55
2;H;08:55;09:07
2;S;09:07;09:15
2;A;12:33;12:50
2;H;16:35;16:40
2;A;17:35;17:40
2;H;18:45;18:50
2;T;18:50;18:55
2;S;18:55;19:00
2;T;19:00;19:08
2;S;19:08;19:10
2;M;19:10;20:10
2;A;20:10;20:35
2;M;20:35;23:10
2;S;23:10;23:15